Modality;ST;TT;Genre;Line;Span;Span_2;Whose_error;Severity;Category_main;Category_sub;Severity_2;Severity_match;Category_main_2;Category_main_match;Category_sub_2;Category_sub_match;Kudos;Cultural reference;Details;Understandable
HT;English;Dutch;ShortStory;5;Zo ingespannen;Zo ingespannen;Match;Minor;Style;Awkward style;Minor;Yes;Accuracy;No;Mistranslation;No;;;;
HT;English;Dutch;ShortStory;12;Het is heel kaal;Het is heel kaal;Match;Minor;Accuracy;Undertranslation;Major;No;Accuracy;Yes;Mistranslation;No;;;;
HT;English;Dutch;ShortStory;7;moest;;AE;Major;Accuracy;Mistranslation;;;;;;;Yes;;Kudos: stilzwijgend moest Willy dat beamen;
HT;English;Dutch;ShortStory;9;allerhande;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;word
HT;English;Dutch;ShortStory;10;;;AE;Minor;Accuracy;Omission;;;;;;;;Yes;In Dutch we don't say public library, just library;cultural
HT;English;Dutch;ShortStory;10;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
HT;English;Dutch;ShortStory;10;;;AE;Minor;Style;Unidiomatic style;;;;;;;;;;No
HT;English;Dutch;ShortStory;13;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
HT;English;Dutch;ShortStory;16;zelden;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;word
HT;English;Dutch;ShortStory;17;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
HT;English;Dutch;ShortStory;19;student;;AE;Minor;Style;Awkward style;;;;;;;;;;syntax
HT;English;Dutch;ShortStory;19;wijsneuzigheden;;AE;Major;Accuracy;Mistranslation;;;;;;;Yes;;;word
HT;English;Dutch;ShortStory;20;Alsof;;AE;Minor;Linguistic Convention;Grammar;;;;;;;;;;No
HT;English;Dutch;ShortStory;20;blonde;;AE;Minor;Accuracy;Addition;;;;;;;;;;word
HT;English;Dutch;ShortStory;13;zinnen;;Human;Major;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;ShortStory;14;betoverend;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
PE;English;Dutch;ShortStory;2;iets wilde zeggen;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;syntax
PE;English;Dutch;ShortStory;7;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
PE;English;Dutch;ShortStory;9;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
PE;English;Dutch;ShortStory;10;;;AE;Minor;Accuracy;Omission;;;;;;;;Yes;In Dutch we don't say public library, just library;cultural
PE;English;Dutch;ShortStory;12;droge;;AE;Major;Accuracy;Mistranslation;;;;;;;;;;word
PE;English;Dutch;ShortStory;13;vonnissen;;AE;Major;Accuracy;Mistranslation;;;;;;;Yes;;;word
PE;English;Dutch;ShortStory;17;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
PE;English;Dutch;ShortStory;19;ongekunstelde wereldwijsheid;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;word
PE;English;Dutch;ShortStory;1;Hm;;Human;Minor;Linguistic Convention;Spelling;;;;;;;;;;
PE;English;Dutch;ShortStory;4;zei hij;;Human;Minor;Style;Unidiomatic style;;;;;;;;;;
PE;English;Dutch;ShortStory;7;Haar inwendig gelijk gevend;;Human;Minor;Linguistic Convention;Grammar;;;;;;;;;;
PE;English;Dutch;ShortStory;10;Ik heb het;;Human;Minor;Accuracy;Overtranslation;;;;;;;;;;
PE;English;Dutch;ShortStory;18;vlasblonde;;Human;Minor;Style;Awkward style;;;;;;;;;;
MT;English;Dutch;ShortStory;12;op een vrij kale manier;kale;Match;Major;Linguistic Convention;;Minor;No;Accuracy;No;Mistranslation;;;;;
MT;English;Dutch;ShortStory;18;nu weer gebogen over haar boek;nu weer gebogen over haar boek;Match;Major;Accuracy;;Minor;No;Style;No;Awkward style;;;;;
MT;English;Dutch;ShortStory;1;Een;;AE;Minor;Accuracy;Addition;;;;;;;;;;
MT;English;Dutch;ShortStory;1;Zomermiddag;;AE;Minor;Linguistic Convention;Spelling;;;;;;;Yes;;;
MT;English;Dutch;ShortStory;5;opmerking;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;word
MT;English;Dutch;ShortStory;7;;;AE;Major;Accuracy;Omission;;;;;;;;;unnecessary omission;erroneous omission
MT;English;Dutch;ShortStory;10;;;AE;Major;Accuracy;Omission;;;;;;;;;to translate 'i got it' conversationally in Dutch we can just use the participle;syntax
MT;English;Dutch;ShortStory;10;;;AE;Minor;Linguistic Convention;Grammar;;;;;;;;;;
MT;English;Dutch;ShortStory;12;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
MT;English;Dutch;ShortStory;15;;;AE;Minor;Linguistic Convention;Punctuation;;;;;;;;;;Punctuation
MT;English;Dutch;ShortStory;19;nog student;;AE;Minor;Linguistic Convention;Grammar;;;;;;;;;;
MT;English;Dutch;ShortStory;20;ordelijk geschikt;;AE;Minor;Style;Awkward style;;;;;;;;;;
MT;English;Dutch;ShortStory;2;op het punt stond iets te zeggen;;Human;Minor;Linguistic Convention;Unintelligble;;;;;;;;;;
MT;English;Dutch;ShortStory;3;Moord;;Human;Major;Accuracy;;;;;;;;;;;
MT;English;Dutch;ShortStory;4;zei hij;;Human;Minor;Style;Awkward style;;;;;;;;;;
MT;English;Dutch;ShortStory;4;terwijl hij zich vastklampte;;Human;Major;Style;Unidiomatic style;;;;;;;;;;
MT;English;Dutch;ShortStory;4;de draad van zijn berekeningen;;Human;Major;Style;Unidiomatic style;;;;;;;;;;
MT;English;Dutch;ShortStory;5;werden zo meeslepend;;Human;Major;Accuracy;;;;;;;;;;;
MT;English;Dutch;ShortStory;6;al wat minder;;Human;Major;Style;;;;;;;;;;;
MT;English;Dutch;ShortStory;8;Wat lees je nou weer;;Human;Major;Linguistic Convention;;;;;;;;;;;
MT;English;Dutch;ShortStory;10;openbare bibliotheek;;Human;Minor;Style;;;;;;;;;;;
MT;English;Dutch;ShortStory;13;Alleen feiten en zinnen;;Human;Major;Linguistic Convention;;;;;;;;;;;
MT;English;Dutch;ShortStory;13;zinnen;;Human;Major;Accuracy;;;;;;;;;;;
MT;English;Dutch;ShortStory;14;meeslepend;;Human;Major;Style;Inconsistent style;;;;;;;;;;
MT;English;Dutch;ShortStory;15;maar moord;;Human;Major;Accuracy;;;;;;;;;;;
MT;English;Dutch;ShortStory;18;vlasblonde;;Human;Minor;Style;Awkward style;;;;;;;;;;
MT;English;Dutch;ShortStory;20;Het was alsof de denkprocessen onder dat kapje van zijdezacht haar net zo glad, zo ordelijk geschikt, zo kinderlijk gekamd en schoon waren;;Human;Major;Linguistic Convention;Unintelligble;;;;;;;;;;
HT;English;Dutch;Thriller;6;of;en of;Match;Minor;Accuracy;Overtranslation;Minor;Yes;Linguistic Convention;No;Grammar;;;;;
HT;English;Dutch;Thriller;2;met ademen;;AE;Minor;Style;Awkward style;;;;;;;;;;
HT;English;Dutch;Thriller;2;met denken;;AE;Minor;Style;Awkward style;;;;;;;;;;
HT;English;Dutch;Thriller;3;hun vermogen;;AE;Minor;Accuracy;Mistranslation;;;;;;;;;;
HT;English;Dutch;Thriller;5;eerste ;;AE;Major;Accuracy;Mistranslation;;;;;;;;Yes;US second floor = EU/UK first floor so correct translation;
