English;Translation;UCP;Translation;Human annotation;Simplified;Automatic annotation;Simplified;Match_YN;Match;Match_diff_YN;Match_spec;ST;TT;Genre;Modality
A thud. The thud.;Un cop. El cop.;A thud. The thud.;Un cop. El cop.;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
Stopped moving. Breathing. Thinking ;Vaig deixar de moure’m. De respirar. De pensar;moving. Breathing.thinking;de moure’m. De respirar. De pensar. ;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
All functions seem to shut down to divert resources to my eardrums;Totes les funcions semblaven apagar-se per destinar tots els recursos al timpà. ;shut down;apagar-se ;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
All functions seem to shut down to divert resources to my eardrums;Totes les funcions semblaven apagar-se per destinar tots els recursos al timpà. ;divert resources;destinar tots els recursos;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
Overhead, there was a flurry of footsteps;A dalt, corredisses. ;a flurry of footsteps;corredisses;R;R;CS;CS;No;0;No;0;English;Catalan;Thriller ;PE
Someone on the second floor was running at a nauseating, inhuman speed.;Algú al segon pis corria amb una velocitat anguniosa, inhumana.;second floor;segon pis;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si aquells peus duguessin un imant enganxat a la sola que anés arrossegant-me pel níquel que tenia al cuir cabellut;attached;enganxat;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si aquells peus duguessin un imant enganxat a la sola que anés arrossegant-me pel níquel que tenia al cuir cabellut;the soles of those feet;la sola;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si aquells peus duguessin un imant enganxat a la sola que anés arrossegant-me pel níquel que tenia al cuir cabellut;nickel in my scalp;el níquel que tenia al cuir cabellut;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
It was as though a magnet were attached to the soles of those feet, and the nickel in my scalp dragged me along for the ride;Era com si aquells peus duguessin un imant enganxat a la sola que anés arrossegant-me pel níquel que tenia al cuir cabellut;dragged me along for the ride;arrossegant-me pel níquel…;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant de llarg la paret amb totes les nostres fotos, per sota l’esquerda mal enguixada del sostre i fins al punt entre l’armari dels abrics i les portes de llibret de la cuina on les passes finalment es van aturar, i jo també;our composites;fotos;R;R;CSA;CS;No;0;No;0;English;Catalan;Thriller ;PE
past the wall of our composites, under the poorly plastered crack in the ceiling, and finally, to the place between the coat closet and the louvered kitchen doors where the footsteps stopped and so did I;passant de llarg la paret amb totes les nostres fotos, per sota l’esquerda mal enguixada del sostre i fins al punt entre l’armari dels abrics i les portes de llibret de la cuina on les passes finalment es van aturar, i jo també;poorly plasered crack;l'esquerda mal enguixada;R;R;R;R;Yes;1;Yes;1;English;Catalan;Thriller ;PE
